query_id,source,question_type,strategy,mode,latency_s,num_relevant,retrieved_ids,mrr,hit@1,precision@1,recall@1,ndcg@1,hit@3,precision@3,recall@3,ndcg@3,hit@5,precision@5,recall@5,ndcg@5,hit@10,precision@10,recall@10,ndcg@10
auto-V-10-Q-2025-07-30-2,auto,deep context,fixed,vector,1.9253,2,"['V-10-Q-2025-01-31-fixed-254', 'V-10-Q-2025-04-30-fixed-323', 'V-10-Q-2025-07-30-fixed-348', 'V-10-K-2025-11-06-fixed-538', 'V-10-Q-2025-01-31-fixed-255', 'V-10-Q-2025-07-30-fixed-347', 'V-10-Q-2025-04-30-fixed-322', 'V-10-K-2025-11-06-fixed-539', 'V-10-Q-2025-07-30-fixed-349', 'V-10-Q-2025-04-30-fixed-324']",0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.3065735963827292,1.0,0.2,0.5,0.3065735963827292,1.0,0.2,1.0,0.5249810332008933
auto-V-10-Q-2025-07-30-2,auto,deep context,fixed,bm25,0.023,2,"['V-10-Q-2025-07-30-fixed-348', 'V-10-Q-2025-01-31-fixed-254', 'V-10-Q-2025-04-30-fixed-323', 'V-10-Q-2025-07-30-fixed-347', 'V-10-Q-2025-04-30-fixed-322', 'MA-10-K-2025-02-12-fixed-751', 'V-10-K-2025-11-06-fixed-537', 'V-10-K-2025-11-06-fixed-538', 'V-10-Q-2025-01-31-fixed-255', 'MA-10-K-2025-02-12-fixed-752']",1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.4,1.0,0.8772153153380493,1.0,0.2,1.0,0.8772153153380493
auto-V-10-Q-2025-07-30-2,auto,deep context,fixed,hybrid,0.0559,2,"['V-10-Q-2025-01-31-fixed-254', 'V-10-Q-2025-07-30-fixed-348', 'V-10-Q-2025-04-30-fixed-323', 'V-10-Q-2025-07-30-fixed-347', 'V-10-K-2025-11-06-fixed-538', 'V-10-Q-2025-04-30-fixed-322', 'V-10-Q-2025-01-31-fixed-255', 'MA-10-K-2025-02-12-fixed-751', 'V-10-K-2025-11-06-fixed-539', 'V-10-Q-2025-07-30-fixed-349']",0.5,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.38685280723454163,1.0,0.4,1.0,0.6509209298071326,1.0,0.2,1.0,0.6509209298071326
auto-V-10-Q-2025-07-30-2,auto,deep context,fixed,hybrid+rerank,0.6806,2,"['V-10-Q-2025-07-30-fixed-347', 'V-10-Q-2025-01-31-fixed-254', 'V-10-Q-2025-04-30-fixed-323', 'V-10-Q-2025-04-30-fixed-322', 'MA-10-K-2025-02-12-fixed-751', 'V-10-K-2025-11-06-fixed-537', 'MA-10-K-2025-02-12-fixed-752', 'V-10-Q-2025-07-30-fixed-348', 'V-10-Q-2025-01-31-fixed-253', 'V-10-Q-2025-01-31-fixed-255']",1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.2,0.5,0.6131471927654584,1.0,0.2,1.0,0.8065735963827293
auto-V-10-Q-2025-07-30-2,auto,deep context,section,vector,0.1266,2,"['V-10-Q-2025-07-30-section-332', 'V-10-Q-2025-01-31-section-245', 'V-10-Q-2025-04-30-section-307', 'V-10-K-2025-11-06-section-511', 'V-10-Q-2025-07-30-section-333', 'V-10-Q-2025-04-30-section-306', 'V-10-Q-2025-01-31-section-244', 'V-10-Q-2025-04-30-section-308', 'V-10-K-2025-11-06-section-510', 'V-10-Q-2025-07-30-section-331']",1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.2,0.5,0.6131471927654584,1.0,0.2,1.0,0.7903864795495061
auto-V-10-Q-2025-07-30-2,auto,deep context,section,bm25,0.0276,2,"['V-10-Q-2025-07-30-section-332', 'V-10-Q-2025-01-31-section-245', 'V-10-Q-2025-04-30-section-307', 'V-10-Q-2025-04-30-section-306', 'V-10-K-2025-11-06-section-510', 'V-10-Q-2025-01-31-section-244', 'V-10-K-2025-11-06-section-511', 'V-10-Q-2025-07-30-section-333', 'MA-10-K-2025-02-12-section-723', 'MA-10-K-2025-02-12-section-722']",1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.2,0.5,0.6131471927654584,1.0,0.1,0.5,0.6131471927654584
auto-V-10-Q-2025-07-30-2,auto,deep context,section,hybrid,0.0459,2,"['V-10-Q-2025-07-30-section-332', 'V-10-Q-2025-01-31-section-245', 'V-10-Q-2025-04-30-section-307', 'V-10-Q-2025-04-30-section-306', 'V-10-K-2025-11-06-section-511', 'V-10-Q-2025-07-30-section-333', 'V-10-Q-2025-01-31-section-244', 'V-10-K-2025-11-06-section-510', 'V-10-Q-2025-04-30-section-308', 'MA-10-K-2025-02-12-section-723']",1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.2,0.5,0.6131471927654584,1.0,0.1,0.5,0.6131471927654584
auto-V-10-Q-2025-07-30-2,auto,deep context,section,hybrid+rerank,0.5689,2,"['V-10-Q-2025-07-30-section-332', 'V-10-K-2025-11-06-section-510', 'V-10-Q-2025-01-31-section-245', 'V-10-Q-2025-04-30-section-307', 'V-10-Q-2025-04-30-section-306', 'V-10-Q-2025-01-31-section-244', 'MA-10-K-2025-02-12-section-723', 'V-10-Q-2025-07-30-section-331', 'MA-10-K-2025-02-12-section-722', 'V-10-K-2025-11-06-section-511']",1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.2,0.5,0.6131471927654584,1.0,0.2,1.0,0.8065735963827293
auto-V-10-Q-2025-07-30-2,auto,deep context,semantic,vector,2.408,1,"['V-10-Q-2025-01-31-semantic-448', 'V-10-Q-2025-04-30-semantic-517', 'V-10-Q-2025-07-30-semantic-562', 'MA-10-K-2025-02-12-semantic-1588', 'V-10-Q-2025-01-31-semantic-452', 'V-10-Q-2025-04-30-semantic-521', 'V-10-Q-2025-07-30-semantic-566', 'V-10-K-2025-11-06-semantic-1165', 'V-10-K-2025-11-06-semantic-1161', 'V-10-Q-2025-01-31-semantic-444']",0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.2,1.0,0.5,1.0,0.1,1.0,0.5
auto-V-10-Q-2025-07-30-2,auto,deep context,semantic,bm25,0.0409,1,"['V-10-Q-2025-04-30-semantic-517', 'V-10-Q-2025-07-30-semantic-562', 'V-10-Q-2025-01-31-semantic-448', 'V-10-K-2025-11-06-semantic-1161', 'MA-10-K-2025-02-12-semantic-1588', 'MA-10-K-2025-02-12-semantic-1589', 'V-10-Q-2025-01-31-semantic-452', 'V-10-K-2025-11-06-semantic-1165', 'V-10-Q-2025-04-30-semantic-521', 'V-10-Q-2025-07-30-semantic-566']",0.5,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.2,1.0,0.6309297535714575,1.0,0.1,1.0,0.6309297535714575
